,1_rmse_mean,1_rmse_stdev,1_r2_mean,1_r2_stdev,25_rmse_mean,25_rmse_stdev,25_r2_mean,25_r2_stdev,50_rmse_mean,50_rmse_stdev,50_r2_mean,50_r2_stdev
0,0.6785133532021109,0.011424697986659208,0.7515757823828522,0.008032933944771864,0.6683842624634376,0.0022735341527058673,0.7590778252128049,0.001146658426843169,0.6659427179215581,0.004383951821249328,0.760792838906859,0.002545623606117453
1,0.6573552525506274,0.009545988563259004,0.7665550441950493,0.00594380204769058,0.654656687172539,0.006894349053637048,0.7685728067222285,0.00412434705808907,0.649573056063965,0.004943697825417449,0.7720336416080477,0.0031455601922724635
2,0.6450357960333849,0.007544298441360246,0.7750748992644904,0.005215931567537074,0.6405346569726834,0.011234761226931678,0.7781244732704738,0.007626834233538475,0.6360878077134897,0.009547277662919903,0.7811823047814014,0.006489509499184761
3,0.6323948208990277,0.011725467492814565,0.7836882320790891,0.0080192160605658,0.6314420874350145,0.010625714140495419,0.7844190259884075,0.007445460508798364,0.6291460229527246,0.010396064331096624,0.7860093623233394,0.007339709857144212
4,0.6260626946418517,0.009591002715576936,0.788094434481585,0.006958451521376341,0.6242896121086597,0.008492014673670813,0.7892259743093897,0.006332628064974697,0.622735370372908,0.008719020213742601,0.7903164629407985,0.006415699963081116
5,0.6182367868000852,0.011659452503368323,0.7932615200491978,0.00860995224720936,0.615387400758434,0.0077401586921457795,0.7952082983469765,0.006056002056281656,0.6150195533248533,0.007195382756978058,0.795583858698348,0.005634263097667393
6,0.614071087542277,0.007811065495469871,0.796214245811937,0.0059284555366521585,0.6129954831074852,0.007566401494981453,0.7967324844879102,0.005540895172713381,0.6103483699999651,0.008129955293931021,0.7983244487253854,0.006005235687291243
7,0.6085753272723354,0.009278400683565675,0.7996368897453205,0.0068048267932196965,0.6074174766169373,0.009009641859750846,0.8005422808380874,0.006637059424530167,0.6071879003063437,0.01025473506525173,0.8006855533429508,0.007414176951814836
8,0.6058802599482725,0.01067050341687849,0.8015133808567082,0.0073943276936214355,0.6053414795866063,0.010338917237028223,0.8019354016098897,0.007163997779188528,0.6046593706405538,0.01111808867117714,0.8023287342666231,0.007683598009794042
9,0.6008459257595371,0.011538853938304318,0.805037183941725,0.007908572233469392,0.6008068594164392,0.011317693713517563,0.805123222957409,0.007826445196338128,0.5998925114112198,0.011400513220843367,0.8056612899633445,0.008051491618770697
10,0.5999377874388887,0.010984492192066696,0.8056325320358342,0.007661415215070091,0.5995444296548654,0.011411098799623943,0.8058964410986132,0.007935160221645433,0.5981517940316216,0.011282053125288167,0.8068282407147098,0.007868319807928606
