,0
0,4103
1,4105
2,4106
3,4201
4,4200
5,6750
6,1397
7,4202
8,4214
9,1398
10,7922
11,4110
12,4213
13,3941
14,4109
15,6902
16,4102
17,1400
18,6718
19,4093
20,3938
21,9141
22,4318
23,4177
24,6901
25,2914
26,4111
27,8166
28,4179
29,7550
30,7614
31,4332
32,7913
33,4203
34,4142
35,8246
36,8245
37,8231
38,7143
39,1512
40,4044
41,1314
42,8872
43,4331
44,4008
45,4290
46,4059
47,4328
48,2538
49,1743
50,4319
51,4291
52,4317
53,4045
54,6749
55,4095
56,3947
57,4047
58,4289
59,2915
60,9026
61,1653
62,4301
63,9541
64,4180
65,4043
66,8429
67,1412
68,2908
69,4065
70,8169
71,1363
72,3943
73,1978
74,4300
75,5268
76,8168
77,9024
78,4131
79,8232
80,8353
81,7171
82,2719
83,4353
84,4100
85,2910
86,4330
87,6758
88,1401
89,8242
90,3951
91,7999
92,1422
93,6857
94,1156
95,8416
96,6873
97,4181
98,6275
99,7623
100,1421
101,1373
102,4010
103,8226
104,4094
105,9120
106,8241
107,4092
108,1742
109,2721
110,8867
111,8244
112,4182
113,8144
114,4101
115,4192
116,1498
117,4146
118,3987
119,6274
120,4187
121,9452
122,2313
123,6751
124,4104
125,4015
126,9274
127,1769
128,1501
129,4113
130,8865
131,6912
132,6842
133,2203
134,5207
135,4207
136,7544
137,8459
138,7620
139,7619
140,620
141,4338
142,4359
143,50
144,1161
145,1328
146,4450
147,6742
148,6703
149,1332
150,9449
151,8866
152,9451
153,621
154,9455
155,6739
156,4196
157,4346
158,7917
159,2306
160,6229
161,7126
162,4210
163,4097
164,1698
165,2555
166,9114
167,2224
168,2707
169,7570
170,4208
171,8905
172,1174
173,1987
174,4197
175,6659
176,2316
177,7919
178,1316
179,8878
180,9542
181,1334
182,1868
183,6267
184,9135
185,9134
186,4140
187,1425
188,6729
189,3978
190,3831
191,3906
192,8230
193,7148
194,6253
195,3950
196,4254
197,8417
198,6872
199,7167
200,4199
201,7174
202,8908
203,3990
204,4118
205,1527
206,51
207,2317
208,7916
209,8227
210,4115
211,944
212,1986
213,9025
214,4063
215,1764
216,4355
217,6717
218,7175
219,8940
220,7877
221,4206
222,6278
223,6841
224,4198
225,9121
226,2559
227,2526
228,7545
229,6888
230,8233
231,1528
232,1362
233,4195
234,7457
235,4002
236,2205
237,6734
238,9127
239,8228
240,1768
241,8333
242,4125
243,9237
244,4048
245,2537
246,7600
247,1846
248,1500
249,4396
250,6859
251,2539
252,2553
253,2552
254,8399
255,2525
256,5907
257,4335
258,9238
259,6695
260,6884
261,3937
262,4134
263,7122
264,1409
265,1170
266,4340
267,4326
268,1738
269,7417
270,2285
271,8146
272,7905
273,4209
274,1365
275,2535
276,6662
277,624
278,7985
279,1514
280,6227
281,1450
282,1426
283,6702
284,6712
285,4143
286,1335
287,8235
288,2557
289,1771
290,9133
291,7735
292,9070
293,4334
294,8024
295,9118
296,7517
297,4306
298,935
299,2527
300,1451
301,4310
302,7164
303,4316
304,4112
305,1979
306,1366
307,1741
308,7135
309,4256
310,5269
311,8236
312,1370
313,6831
314,8163
315,7130
316,7710
317,4153
318,622
319,2709
320,7605
321,9554
322,4060
323,4327
324,7546
325,4303
326,1751
327,7115
328,4175
329,8426
330,8162
331,2536
332,2528
333,7602
334,4219
335,4337
336,9105
337,4122
338,1864
339,6881
340,623
341,1517
342,6286
343,8239
344,619
345,9488
346,8350
347,6887
348,4108
349,8425
350,4314
351,4296
352,936
353,4129
354,3066
355,1671
356,7539
357,9399
358,9535
359,2550
360,3112
361,1371
362,480
363,2302
364,4114
365,9033
366,8134
367,1342
368,3064
369,9536
370,6700
371,9132
372,3111
373,2542
374,6697
375,4117
376,7534
377,2732
378,8880
379,2219
380,2549
381,9982
382,4305
383,9532
384,6830
385,2218
386,4123
387,4119
388,6792
389,8410
390,7260
391,4297
392,8951
393,2713
394,7591
395,8319
396,4309
397,7908
398,9551
399,2531
400,7900
401,9534
402,9406
403,9097
404,9396
405,6680
406,7553
407,9398
408,8161
409,8348
410,5515
411,1413
412,4186
413,3939
414,8240
415,5158
416,6536
417,1403
418,2723
419,5267
420,9458
421,7599
422,9546
423,4021
424,6738
425,1515
426,8402
427,6508
428,2541
429,1084
430,1699
431,2204
432,1695
433,7880
434,4344
435,7072
436,3108
437,676
438,3039
439,2308
440,7110
441,4006
442,1341
443,6233
444,1338
445,4050
446,5520
447,8167
448,8221
449,6838
450,4053
451,3944
452,4185
453,7904
454,4056
455,9558
456,6353
457,6257
458,585
459,8321
460,1646
461,1329
462,5514
463,1661
464,2287
465,4116
466,978
467,8329
468,926
469,4096
470,4356
471,1991
472,7860
473,1649
474,4073
475,1499
476,8411
477,7920
478,4152
479,643
480,6287
481,7991
482,9460
483,7615
484,7447
485,6812
486,4150
487,2909
488,53
489,8415
490,945
491,7166
492,1793
493,1315
494,6720
495,6861
496,3955
497,6134
498,4139
499,562
