,1_runtime,1_rmse_mean,1_rmse_stdev,1_r2_mean,1_r2_stdev,25_runtime,25_rmse_mean,25_rmse_stdev,25_r2_mean,25_r2_stdev,50_runtime,50_rmse_mean,50_rmse_stdev,50_r2_mean,50_r2_stdev
0,,0.6785133532021111,0.011424697986659243,0.7515757823828522,0.008032933944771864,177.09271788597107,0.6785133532021111,0.011424697986659243,0.7515757823828522,0.008032933944771864,107.95607686042786,0.6785133532021111,0.011424697986659243,0.7515757823828522,0.008032933944771864
1,,0.6622240876036792,0.005098749338954585,0.7611495018248573,0.0032579110767243617,177.09271788597107,0.6673113102521775,0.006087618575163517,0.7587726985393259,0.0040969744814775165,107.95607686042786,0.6672217485360293,0.006032253430055724,0.7587998595681452,0.0038383753682759737
2,,0.6472520948403618,0.009345794475570438,0.7699671553416968,0.006813081007552276,177.09271788597107,0.6617222060656229,0.008588910704713796,0.7613791197955001,0.0053447042654447266,107.95607686042786,0.663198985358986,0.004991567146778819,0.7608662279324996,0.0032267343252711093
3,,0.6419020274174888,0.008606918691329788,0.7719973087651099,0.006397295587276471,177.09271788597107,0.6604643183207165,0.00556752747043998,0.7603832095477858,0.0037894112396403916,107.95607686042786,0.6566402856465444,0.005220165073958266,0.7633784481152525,0.003870814843631589
4,,0.6370654351808688,0.007198477551394018,0.7738101488841518,0.005351306935578451,177.09271788597107,0.6507775159051293,0.005639120337079139,0.765933428233045,0.004285344324232912,107.95607686042786,0.6504188862240597,0.007646251501635823,0.7666526773807082,0.004674522557975299
5,,0.6300831887986118,0.0074847583069819635,0.7770312947633705,0.005771502482406437,177.09271788597107,0.6438999477410593,0.005971290912157201,0.7699022800833865,0.004407996405089287,107.95607686042786,0.6460021021608043,0.009049557024043298,0.7683143773867531,0.006543466526248912
6,,0.6268286894748205,0.005497814831180485,0.7775671206875873,0.004353770454036578,177.09271788597107,0.638230382925956,0.011090787863793044,0.7729266156239101,0.007954901861487241,107.95607686042786,0.6377329279853134,0.011984743984145904,0.7732416268908096,0.007944244907906342
7,,0.6191425845394024,0.004882684857054385,0.7814320058902929,0.00416719061874003,177.09271788597107,0.6339933748345964,0.005864005501362139,0.7746087005652251,0.004341210170815675,107.95607686042786,0.636800487613403,0.013039785860875577,0.7730696701748793,0.008778998412135012
8,,0.6158613292052683,0.005052075644715456,0.7819701133940692,0.0036273660749169814,177.09271788597107,0.6304890244597382,0.0044307907838441645,0.7749458504994973,0.002730819781150461,107.95607686042786,0.6346402170513364,0.01201465815182916,0.7737222214965612,0.0084410580932816
9,,0.6100061562437324,0.0044035975128254735,0.7838770326871328,0.003956008235091603,177.09271788597107,0.6256805044417257,0.006378430645516239,0.776511612278041,0.004747916081629629,107.95607686042786,0.6286322631486434,0.008170807010206907,0.7765462503580528,0.005846303818775545
10,,0.608377887629398,0.0026883452202696367,0.7829890479387008,0.0025797429251386145,177.09271788597107,0.6209728124752164,0.004795648218751615,0.7781966881325558,0.0032940406274510076,107.95607686042786,0.623991311590136,0.007809286988818964,0.7781558662748433,0.004965750759206604
