,0
0,9229
1,1685
2,9121
3,4130
4,8277
5,1241
6,6757
7,1327
8,9319
9,1308
10,1833
11,1332
12,3108
13,9243
14,6851
15,1140
16,6273
17,7442
18,9887
19,618
20,4612
21,3903
22,1409
23,6914
24,4101
25,1647
26,1531
27,1373
28,203
29,643
30,1328
31,1653
32,286
33,1362
34,341
35,1225
36,4382
37,4044
38,1419
39,4195
40,1372
41,4318
42,6758
43,3801
44,4883
45,1717
46,9836
47,6491
48,4129
49,5185
50,7290
51,5124
52,6205
53,3098
54,4642
55,9141
56,3289
57,2047
58,9494
59,1250
60,4745
61,9145
62,3306
63,3831
64,1919
65,4415
66,3561
67,6458
68,5111
69,5737
70,9022
71,5616
72,704
73,4814
74,3120
75,4290
76,4786
77,4389
78,7016
79,1064
80,8510
81,1450
82,2704
83,1898
84,3022
85,653
86,1654
87,8538
88,9587
89,3112
90,4634
91,7342
92,4128
93,3490
94,3851
95,9130
96,4695
97,1978
98,4371
99,2489
100,9134
101,6416
102,343
103,4803
104,8850
105,1426
106,1659
107,1333
108,2754
109,3604
110,1561
111,4049
112,6879
113,1363
114,2698
115,7499
116,3593
117,2476
118,619
119,1853
120,4009
121,3875
122,666
123,1624
124,6224
125,7287
126,6267
127,9987
128,2676
129,1527
130,4423
131,1496
132,8466
133,1322
134,1716
135,2559
136,6949
137,9972
138,4775
139,8504
140,4396
141,4996
142,6874
143,9890
144,3343
145,6515
146,941
147,6712
148,5965
149,3906
150,2555
151,841
152,4123
153,3840
154,1821
155,8569
156,3301
157,9299
158,4605
159,6911
160,9805
161,708
162,3978
163,8896
164,1408
165,8495
166,8224
167,9450
168,1545
169,1268
170,3367
171,353
172,5792
173,8022
174,3118
175,8754
176,8625
177,7923
178,6538
179,469
180,7937
181,665
182,6497
183,3770
184,5112
185,337
186,1311
187,5137
188,1930
189,8665
190,8653
191,6823
192,8898
193,4688
194,491
195,1650
196,3185
197,7900
198,3443
199,8700
200,5153
201,980
202,1330
203,5603
204,7060
205,6364
206,1812
207,4120
208,54
209,234
210,6727
211,5701
212,167
213,4392
214,2957
215,2308
216,3982
217,5999
218,3858
219,3803
220,5188
221,3888
222,9802
223,4993
224,3772
225,5130
226,4198
227,6032
228,5614
229,6168
230,670
231,7120
232,6918
233,9423
234,8916
235,1720
236,393
237,8715
238,7621
239,1687
240,4740
241,9481
242,1498
243,2806
244,4087
245,4131
246,3837
247,6751
248,8276
249,4646
250,8229
251,3059
252,5591
253,2024
254,9316
255,9144
256,6187
257,3400
258,2839
259,3227
260,8021
261,4210
262,2966
263,7097
264,1505
265,3113
266,151
267,9586
268,4403
269,3483
270,4458
271,681
272,74
273,834
274,6191
275,1516
276,3969
277,6093
278,8943
279,9647
280,3622
281,4143
282,5125
283,5855
284,9300
285,69
286,2883
287,3566
288,1894
289,4773
290,7395
291,5386
292,4823
293,9617
294,6573
295,5152
296,8243
297,4057
298,2293
299,3147
300,9990
301,2063
302,8124
303,6384
304,3648
305,7169
306,6473
307,9886
308,3797
309,1848
310,4064
311,4147
312,6346
313,1913
314,1415
315,5113
316,5719
317,1423
318,1397
319,3100
320,1239
321,5463
322,8630
323,1689
324,6993
325,1325
326,6011
327,2339
328,1832
329,2180
330,2099
331,9493
332,6395
333,8613
334,3902
335,7096
336,1066
337,4020
338,6126
339,5888
340,8639
341,4317
342,8822
343,1267
344,2224
345,4347
346,4211
347,6469
348,1562
349,5278
350,3127
351,8658
352,4223
353,3800
354,376
355,3576
356,2050
357,8166
358,6101
359,3134
360,8493
361,6300
362,4443
363,6607
364,9797
365,7292
366,1216
367,7866
368,9937
369,4411
370,761
371,3572
372,5734
373,2142
374,8507
375,3955
376,4299
377,7175
378,1290
379,2502
380,5394
381,4843
382,4755
383,5609
384,9478
385,6501
386,5110
387,2270
388,2481
389,2981
390,328
391,3104
392,5131
393,3186
394,227
395,9961
396,5164
397,6204
398,4542
399,7551
400,9534
401,3661
402,7112
403,7594
404,2960
405,6129
406,1532
407,1858
408,6517
409,9755
410,9777
411,3493
412,7826
413,168
414,3584
415,6398
416,1091
417,4288
418,4798
419,1507
420,5793
421,6109
422,7671
423,4047
424,6463
425,5096
426,4856
427,4433
428,8105
429,1334
430,6693
431,2562
432,9614
433,497
434,1367
435,4703
436,1704
437,3335
438,904
439,198
440,4043
441,3901
442,659
443,8741
444,4400
445,7447
446,4289
447,8974
448,8892
449,5262
450,4255
451,3121
452,1317
453,8509
454,4362
455,4105
456,1665
457,5715
458,9489
459,4200
460,8968
461,2602
462,3643
463,1449
464,621
465,2439
466,1979
467,5515
468,8771
469,9996
470,2748
471,6132
472,8839
473,56
474,2556
475,836
476,6639
477,4155
478,3045
479,4145
480,4244
481,4950
482,571
483,6590
484,8468
485,308
486,6456
487,1166
488,8687
489,3677
490,9592
491,90
492,8923
493,7048
494,3003
495,8933
496,9792
497,1626
498,7498
499,1495
