,0
0,9229
1,9243
2,7447
3,8273
4,9121
5,7342
6,8399
7,6859
8,203
9,9238
10,1685
11,9805
12,8277
13,9134
14,4130
15,9319
16,1241
17,1239
18,1332
19,1240
20,6757
21,1327
22,1326
23,1325
24,1308
25,1313
26,1310
27,1312
28,1309
29,1832
30,1833
31,1831
32,1311
33,1654
34,1330
35,1331
36,1329
37,1653
38,1328
39,643
40,618
41,6911
42,3108
43,5612
44,3113
45,8223
46,8283
47,7147
48,9280
49,2456
50,9316
51,6851
52,8212
53,7339
54,8270
55,6273
56,6823
57,7442
58,1140
59,3985
60,4299
61,674
62,6010
63,6875
64,386
65,9887
66,3082
67,6897
68,6886
69,1285
70,4264
71,4612
72,1111
73,1192
74,6883
75,1687
76,6760
77,6904
78,1767
79,1946
80,6799
81,8944
82,248
83,6840
84,6810
85,3903
86,3904
87,6890
88,6829
89,3902
90,6894
91,9656
92,4330
93,505
94,996
95,6779
96,6816
97,6832
98,6871
99,6836
100,1409
101,4101
102,6914
103,1373
104,1530
105,1531
106,1529
107,1647
108,4195
109,4196
110,1652
111,1527
112,4198
113,1650
114,1645
115,1649
116,4199
117,1651
118,1648
119,1646
120,5515
121,4197
122,1528
123,286
124,1372
125,1362
126,341
127,6918
128,1089
129,3098
130,227
131,6913
132,1226
133,1750
134,282
135,6916
136,6917
137,6915
138,1225
139,1853
140,1419
141,1423
142,4382
143,1421
144,1420
145,1422
146,1424
147,4044
148,4415
149,4411
150,4318
151,4317
152,3801
153,4319
154,3800
155,3802
156,4883
157,3661
158,4884
159,3367
160,774
161,1717
162,841
163,6491
164,5188
165,5185
166,4129
167,9046
168,9050
169,6758
170,9089
171,9085
172,9061
173,9057
174,9066
175,9144
176,9093
177,9076
178,974
179,5151
180,6204
181,5171
182,7290
183,4642
184,5124
185,6205
186,5156
187,5223
188,3798
189,5210
190,6132
191,5205
192,5231
193,5228
194,5196
195,5161
196,5166
197,5181
198,5176
199,5220
200,3289
201,9141
202,2047
203,9494
204,2051
205,2049
206,2050
207,2044
208,2055
209,2045
210,2054
211,2048
212,2053
213,2046
214,2052
215,2056
216,972
217,6750
218,1250
219,6751
220,6749
221,99
222,7922
223,1919
224,4745
225,9972
226,3875
227,9145
228,3306
229,3301
230,1450
231,7016
232,1451
233,1449
234,8166
235,1721
236,3561
237,6713
238,3831
239,9965
240,5792
241,9974
242,5737
243,3313
244,4244
245,9969
246,3302
247,3310
248,3309
249,3303
250,6458
251,9022
252,5109
253,5110
254,5112
255,5111
256,6949
257,5616
258,5107
259,9027
260,4843
261,4814
262,4809
263,5102
264,4838
265,4804
266,4861
267,4799
268,5101
269,6680
270,4853
271,6456
272,4822
273,4833
274,7900
275,4828
276,4819
277,4848
278,6457
279,311
280,4865
281,5105
282,5618
283,3460
284,5098
285,5622
286,5097
287,5615
288,5103
289,5614
290,5621
291,5620
292,5106
293,5617
294,8750
295,5108
296,5100
297,5619
298,5099
299,8526
300,4389
301,5270
302,4786
303,3119
304,3120
305,8510
306,4290
307,4289
308,4291
309,343
310,3121
311,2704
312,5965
313,4396
314,1064
315,1898
316,4773
317,6469
318,653
319,1732
320,7499
321,8996
322,8128
323,3022
324,8538
325,9587
326,4792
327,8124
328,9452
329,4782
330,9450
331,4784
332,8130
333,8127
334,4775
335,8125
336,4637
337,8126
338,5591
339,9378
340,9517
341,8123
342,8120
343,276
344,665
345,887
346,4128
347,4771
348,4702
349,4695
350,4371
351,6416
352,2489
353,4374
354,4362
355,9130
356,1978
357,1426
358,1977
359,1979
360,2754
361,1333
362,3490
363,4803
364,619
365,941
366,6093
367,4808
368,5262
369,8850
370,4842
371,4813
372,4856
373,4837
374,6089
375,4852
376,1363
377,1659
378,6092
379,4818
380,4827
381,3851
382,4847
383,4051
384,6090
385,6091
386,3852
387,6095
388,1704
389,4055
390,3604
391,4053
392,4054
393,1561
394,3593
395,4049
396,5500
397,4048
398,5294
399,6094
400,2698
401,2487
402,2477
403,2476
404,2473
405,2481
406,2470
407,2482
408,2479
409,136
410,886
411,2483
412,275
413,2485
414,2486
415,2484
416,2474
417,2480
418,2471
419,2478
420,1031
421,2472
422,2475
423,4009
424,9987
425,6224
426,4008
427,2559
428,1626
429,4010
430,1627
431,704
432,1625
433,1623
434,1496
435,1624
436,708
437,8468
438,1812
439,1628
440,666
441,8464
442,8473
443,8466
444,8469
445,8470
446,8463
447,4423
448,8474
449,8467
450,3343
451,2676
452,6267
453,4996
454,8504
455,9299
456,7287
457,3840
458,8493
459,8495
460,9890
461,6712
462,7496
463,2555
464,6874
465,4123
466,990
467,8630
468,8974
469,1716
470,8665
471,1322
472,4120
473,1913
474,8569
475,6515
476,7346
477,7292
478,3905
479,7388
480,3906
481,1408
482,2261
483,3907
484,9752
485,8316
486,2603
487,2876
488,3839
489,3837
490,7293
491,9249
492,3836
493,3838
494,1268
495,1821
496,4740
497,1235
498,2260
499,8954
