,0
0,4103
1,4105
2,4106
3,4201
4,6750
5,1397
6,7922
7,4214
8,4200
9,3941
10,3938
11,6718
12,4110
13,4318
14,4319
15,1398
16,4202
17,2914
18,6902
19,4109
20,1512
21,4102
22,9141
23,6901
24,7550
25,4177
26,8166
27,4093
28,4179
29,6749
30,4095
31,1400
32,8246
33,8245
34,8231
35,4332
36,4331
37,4142
38,4328
39,4059
40,8429
41,4317
42,1314
43,3947
44,1743
45,2538
46,4290
47,4291
48,4044
49,4045
50,4289
51,4008
52,4047
53,2915
54,7143
55,4180
56,4111
57,4065
58,8872
59,9026
60,9541
61,4203
62,4301
63,4300
64,1653
65,2908
66,1412
67,1363
68,1978
69,3943
70,5268
71,8169
72,8232
73,4330
74,4100
75,4131
76,2719
77,4353
78,4181
79,8168
80,8353
81,7614
82,7913
83,8242
84,4094
85,4092
86,4213
87,7999
88,1742
89,7171
90,1156
91,7623
92,4010
93,4101
94,4182
95,6857
96,9120
97,2313
98,8244
99,6873
100,6758
101,1401
102,8416
103,8867
104,2910
105,2721
106,6275
107,8226
108,4043
109,8241
110,3951
111,1373
112,4146
113,1498
114,3987
115,6274
116,4192
117,1422
118,1421
119,4015
120,4450
121,4104
122,6751
123,7544
124,4113
125,6912
126,6842
127,2203
128,9274
129,4196
130,4197
131,6229
132,7126
133,1769
134,4207
135,4187
136,620
137,621
138,5207
139,1161
140,4210
141,9542
142,7620
143,7619
144,7917
145,6739
146,8865
147,6703
148,8866
149,2306
150,6742
151,2224
152,1698
153,4199
154,4346
155,4338
156,4097
157,2707
158,8459
159,1987
160,1501
161,4359
162,4198
163,4195
164,4140
165,4208
166,8905
167,6729
168,7919
169,8908
170,51
171,1316
172,6659
173,7570
174,9134
175,1334
176,8878
177,2555
178,1174
179,6253
180,1425
181,4118
182,1328
183,1332
184,2316
185,2317
186,4254
187,3950
188,8940
189,1868
190,7174
191,7167
192,7175
193,7916
194,6267
195,3906
196,1527
197,8230
198,8227
199,9135
200,944
201,1986
202,2559
203,2537
204,2539
205,2553
206,8144
207,2552
208,4063
209,7148
210,4206
211,4355
212,9114
213,6278
214,7877
215,6841
216,2525
217,2526
218,3831
219,8333
220,9449
221,8233
222,6872
223,1764
224,4115
225,3990
226,9024
227,9025
228,6734
229,4335
230,4143
231,6888
232,4340
233,4326
234,7457
235,6717
236,4396
237,9121
238,6859
239,9127
240,8417
241,4134
242,4048
243,7545
244,1170
245,6695
246,1738
247,7600
248,7122
249,6712
250,7905
251,8228
252,5907
253,6227
254,1768
255,6884
256,1362
257,9237
258,1365
259,8399
260,1409
261,1500
262,7985
263,1846
264,3937
265,7417
266,1771
267,4209
268,4334
269,6662
270,3978
271,4002
272,7164
273,2285
274,1514
275,4125
276,4112
277,8235
278,1426
279,7517
280,6702
281,1741
282,624
283,2557
284,2535
285,8024
286,1450
287,1451
288,6831
289,5269
290,4175
291,7135
292,8236
293,7735
294,1366
295,1370
296,4306
297,4310
298,4316
299,4303
300,4314
301,4060
302,4296
303,9554
304,2205
305,9488
306,4153
307,7710
308,1335
309,4256
310,2527
311,935
312,2709
313,4327
314,622
315,623
316,7546
317,619
318,1671
319,9118
320,9133
321,6881
322,2528
323,2536
324,936
325,2550
326,7539
327,7605
328,1517
329,7130
330,1979
331,8426
332,8425
333,9105
334,8350
335,8163
336,7115
337,4337
338,6286
339,4219
340,1342
341,3112
342,3111
343,7602
344,8162
345,3066
346,6700
347,8880
348,9536
349,9535
350,9534
351,9546
352,9532
353,8146
354,9399
355,9398
356,480
357,1864
358,1371
359,2542
360,9132
361,9070
362,8239
363,9033
364,2302
365,2308
366,2218
367,6830
368,6792
369,8410
370,8134
371,8319
372,7553
373,4122
374,4108
375,4129
376,4114
377,4123
378,7260
379,4119
380,8951
381,9982
382,1515
383,6812
384,1413
385,8402
386,9452
387,9451
388,9455
389,9551
390,7900
391,8161
392,7591
393,9406
394,7908
395,9097
396,5515
397,2541
398,3939
399,3944
400,8240
401,7880
402,1699
403,1713
404,9458
405,9558
406,2713
407,1338
408,6887
409,6536
410,4117
411,2732
412,6738
413,4305
414,2723
415,4297
416,2204
417,5267
418,6353
419,4344
420,4050
421,4053
422,1646
423,1329
424,676
425,2531
426,6233
427,4186
428,1403
429,4185
430,9396
431,1751
432,7110
433,8167
434,2549
435,3039
436,4006
437,1695
438,2287
439,4056
440,6257
441,585
442,6256
443,7860
444,4116
445,978
446,2909
447,2913
448,926
449,925
450,8136
451,8321
452,8411
453,6838
454,5514
455,5520
456,7920
457,6508
458,1661
459,1341
460,4073
461,923
462,1499
463,1315
464,4096
465,1793
466,7616
467,1794
468,6720
469,1792
470,1798
471,4356
472,9702
473,4021
474,1991
475,5595
476,5158
477,4150
478,6811
479,7534
480,1378
481,1084
482,6354
483,7556
484,478
485,8142
486,4309
487,8221
488,5510
489,7906
490,945
491,562
492,6287
493,6280
494,4072
495,2916
496,2921
497,7991
498,5193
499,4308
