,0
0,9229
1,9243
2,9121
3,6859
4,8399
5,7447
6,8273
7,9238
8,1685
9,7342
10,9805
11,203
12,9134
13,8277
14,4130
15,1332
16,9319
17,1240
18,1241
19,1239
20,1326
21,1327
22,6757
23,1313
24,1325
25,1308
26,1309
27,1310
28,1833
29,1312
30,1831
31,1832
32,1311
33,1653
34,1654
35,1329
36,1331
37,1330
38,1328
39,643
40,3108
41,618
42,644
43,7147
44,1140
45,3111
46,3113
47,8408
48,6273
49,8461
50,8212
51,8270
52,9316
53,6851
54,7339
55,9887
56,7442
57,1686
58,3904
59,3902
60,1688
61,3903
62,4612
63,5534
64,1409
65,1687
66,4101
67,6914
68,9886
69,1373
70,1529
71,1530
72,1732
73,1531
74,1064
75,4196
76,6469
77,4195
78,1527
79,4197
80,4198
81,1652
82,4199
83,1649
84,1645
85,1650
86,1651
87,1646
88,1647
89,1648
90,5515
91,1528
92,1372
93,286
94,1362
95,341
96,1750
97,1089
98,6913
99,3098
100,4044
101,4382
102,1225
103,4043
104,4045
105,4318
106,1422
107,1421
108,4047
109,1419
110,4411
111,1423
112,4415
113,4319
114,1420
115,4317
116,1424
117,4048
118,4053
119,4056
120,3801
121,4051
122,4049
123,4046
124,4050
125,4054
126,4055
127,4052
128,5500
129,3802
130,3800
131,1717
132,6758
133,4129
134,4884
135,9144
136,4883
137,841
138,3367
139,5188
140,9046
141,9141
142,6750
143,3661
144,9050
145,774
146,9057
147,9066
148,974
149,5185
150,6134
151,6133
152,6204
153,6205
154,6136
155,6142
156,7290
157,8166
158,6146
159,6140
160,6131
161,6138
162,6491
163,6144
164,6137
165,6141
166,4642
167,6132
168,6130
169,6145
170,6139
171,6135
172,6143
173,9494
174,3798
175,5124
176,1250
177,6713
178,2050
179,7016
180,1919
181,2051
182,2044
183,3289
184,2049
185,2045
186,5603
187,2046
188,3831
189,2052
190,972
191,2056
192,2047
193,2054
194,9972
195,2048
196,2055
197,2053
198,3875
199,1721
200,3561
201,3306
202,6680
203,4290
204,7900
205,3309
206,9022
207,9145
208,5737
209,7591
210,4291
211,3310
212,6458
213,4838
214,5734
215,9097
216,5616
217,9026
218,3302
219,5735
220,3303
221,3304
222,9027
223,4289
224,9024
225,4843
226,6949
227,3301
228,3313
229,3307
230,9029
231,3311
232,5736
233,3308
234,3315
235,4804
236,4799
237,6679
238,6734
239,9025
240,4389
241,4819
242,4828
243,9023
244,4833
245,5615
246,3312
247,5614
248,4848
249,7725
250,5111
251,3120
252,5110
253,5101
254,5103
255,3119
256,5270
257,5109
258,5107
259,5105
260,5104
261,5097
262,5106
263,5112
264,5108
265,5099
266,3121
267,5102
268,4745
269,5098
270,4786
271,5100
272,4396
273,9587
274,1450
275,8538
276,1451
277,1449
278,1978
279,1896
280,4128
281,6717
282,2704
283,1898
284,1895
285,1426
286,7171
287,3185
288,7499
289,4784
290,1897
291,1979
292,1363
293,2313
294,4773
295,9130
296,1899
297,4782
298,7614
299,1977
300,3014
301,3015
302,3022
303,3016
304,653
305,5591
306,4837
307,343
308,5965
309,4374
310,8510
311,6093
312,4803
313,3018
314,3851
315,4842
316,3013
317,8850
318,6267
319,3019
320,1333
321,619
322,1659
323,3021
324,4008
325,3017
326,6091
327,2559
328,8124
329,3852
330,3020
331,4827
332,4818
333,8126
334,6094
335,8125
336,1661
337,646
338,647
339,6095
340,4371
341,4452
342,4637
343,4362
344,4856
345,8996
346,4010
347,3012
348,4847
349,4698
350,2489
351,1560
352,1562
353,6416
354,2754
355,3604
356,6224
357,1557
358,1559
359,3616
360,941
361,2884
362,6712
363,2886
364,3593
365,1704
366,3621
367,1565
368,1558
369,6879
370,1556
371,2477
372,2885
373,2887
374,5277
375,2494
376,1626
377,1627
378,9987
379,3578
380,2883
381,3597
382,3606
383,3582
384,2476
385,2495
386,1563
387,3645
388,3613
389,2555
390,3635
391,3617
392,1624
393,3592
394,3626
395,3602
396,1561
397,3622
398,1564
399,2483
400,8469
401,3906
402,4123
403,666
404,3907
405,8470
406,8468
407,8464
408,8504
409,1408
410,1314
411,3905
412,8463
413,950
414,1315
415,8475
416,8465
417,8467
418,2698
419,8471
420,8466
421,8473
422,234
423,3978
424,8472
425,1316
426,3840
427,3836
428,3343
429,1496
430,1514
431,1497
432,9299
433,8569
434,9452
435,1268
436,4200
437,1495
438,9249
439,818
440,4131
441,1515
442,8474
443,4120
444,3838
445,1821
446,1397
447,6538
448,7923
449,1260
450,1913
451,353
452,491
453,4105
454,8428
455,1912
456,51
457,4106
458,2224
459,3143
460,3118
461,6515
462,8243
463,1498
464,50
465,4211
466,2308
467,9534
468,708
469,4103
470,8665
471,9890
472,8493
473,8224
474,8244
475,1499
476,6727
477,7496
478,4210
479,7621
480,52
481,4423
482,2557
483,8429
484,2676
485,4059
486,8245
487,6869
488,3141
489,53
490,4143
491,8933
492,54
493,9536
494,6364
495,1412
496,4102
497,9990
498,8630
499,8402
