,1_runtime,1_rmse_mean,1_rmse_stdev,1_r2_mean,1_r2_stdev,25_runtime,25_rmse_mean,25_rmse_stdev,25_r2_mean,25_r2_stdev,50_runtime,50_rmse_mean,50_rmse_stdev,50_r2_mean,50_r2_stdev
0,,0.6785133532021111,0.011424697986659243,0.7515757823828522,0.008032933944771864,174.6748559474945,0.6785133532021111,0.011424697986659243,0.7515757823828522,0.008032933944771864,107.74713182449341,0.6785133532021111,0.011424697986659243,0.7515757823828522,0.008032933944771864
1,,0.6598576835961062,0.00727913676614569,0.7632968922065079,0.004912138851942963,174.6748559474945,0.6671727211379087,0.005846055746674983,0.7590027163763527,0.003924991843234328,107.74713182449341,0.6703640748024343,0.005440679567221961,0.7566441603908091,0.00327847587189263
2,,0.6451183093023857,0.009589833519923164,0.7724824771403029,0.006996706413374937,174.6748559474945,0.661394626200193,0.006260857192127138,0.761962970906607,0.0037668956316015837,107.74713182449341,0.6643700983690563,0.003642456651185329,0.7606764180855269,0.0023954609599324285
3,,0.6397143071498946,0.00968484270680669,0.7753441615179434,0.007276174695879734,174.6748559474945,0.661383421095134,0.005140706615901614,0.7605823090841114,0.003503891806776157,107.74713182449341,0.6572798536668057,0.006974093082277211,0.7643704714078147,0.004248938276046217
4,,0.6323095287141139,0.010102552108811879,0.7797589257621894,0.007459253717672522,174.6748559474945,0.6566880630836714,0.007872378060452311,0.7633266951915084,0.00530902553015844,107.74713182449341,0.6561909897476639,0.005452977940362718,0.7640295652808528,0.0034582715692423097
5,,0.6236461969645328,0.008993645868312309,0.7854631308024862,0.006722065871771981,174.6748559474945,0.6474198722384888,0.0062980453357360374,0.768866728123386,0.0047186682528597736,107.74713182449341,0.6458606984062055,0.009146313235414146,0.7694272980038424,0.006522322810744117
6,,0.6173713012750514,0.009227667766455718,0.7894878980181602,0.00688093693383739,174.6748559474945,0.6392568181280475,0.010282031118424156,0.773423890632845,0.007153021390664976,107.74713182449341,0.6412675820758722,0.010116159764471444,0.772712529636899,0.007407681044946482
7,,0.6073216686750489,0.011137883693192697,0.7959141570884855,0.007640849825930686,174.6748559474945,0.6355938139137092,0.012031825468284798,0.7752238539584839,0.008291782228695432,107.74713182449341,0.6358013911597902,0.011420947242655386,0.7755637797757903,0.007528415749343843
8,,0.6032244039938538,0.011055005266416099,0.7983136352104584,0.007558593808164461,174.6748559474945,0.6289434597126324,0.008361524957028197,0.7792692501687762,0.005619067024701318,107.74713182449341,0.6305375596616846,0.010838094728744505,0.7783224301193284,0.007559276297042449
9,,0.59872623547315,0.0047944627194677555,0.8007759991225262,0.0037256915495280226,174.6748559474945,0.6229773286291062,0.0071213109527495325,0.7825728441865039,0.0048929768439239475,107.74713182449341,0.6272020038181155,0.011492671048136336,0.7800215244318038,0.008554345912553694
10,,0.5945556923547971,0.004731635175386845,0.8030821291138842,0.0037108088961869613,174.6748559474945,0.6181923882298167,0.008556114205566167,0.785585177716767,0.005996592195489397,107.74713182449341,0.6193789019632058,0.012954089879419714,0.7847776804236827,0.008548004796764912
