,0
0,9229
1,9121
2,1685
3,4130
4,9134
5,1240
6,1326
7,9319
8,6757
9,1313
10,1332
11,1833
12,3108
13,9243
14,1140
15,6273
16,8212
17,9887
18,618
19,7442
20,1686
21,3902
22,1409
23,4101
24,6914
25,1652
26,1529
27,1373
28,643
29,9805
30,1328
31,1653
32,1362
33,286
34,341
35,4044
36,4382
37,1421
38,1225
39,4196
40,4318
41,1372
42,6758
43,3801
44,1717
45,4129
46,7147
47,4884
48,5188
49,9141
50,6204
51,6491
52,7290
53,3098
54,6134
55,5124
56,9494
57,8166
58,2050
59,3289
60,1250
61,4389
62,3561
63,4290
64,6680
65,5737
66,3306
67,9145
68,9022
69,3831
70,4838
71,3120
72,5111
73,5614
74,1450
75,4411
76,1732
77,6859
78,1527
79,1496
80,8538
81,4745
82,3112
83,4786
84,9587
85,704
86,1978
87,653
88,1426
89,1895
90,4128
91,3851
92,2704
93,9130
94,1654
95,1363
96,3014
97,8277
98,4048
99,1659
100,1333
101,8850
102,4803
103,4374
104,6093
105,8510
106,6267
107,4008
108,6416
109,619
110,3604
111,2489
112,1560
113,2559
114,6224
115,1853
116,2754
117,6712
118,4698
119,1314
120,1626
121,7499
122,8469
123,3593
124,6879
125,2477
126,3875
127,1913
128,9987
129,2555
130,3906
131,343
132,4396
133,4123
134,8504
135,666
136,2698
137,6949
138,1514
139,7922
140,1408
141,4200
142,1716
143,9452
144,3343
145,3978
146,1268
147,8569
148,9972
149,1397
150,3840
151,841
152,9249
153,6538
154,4319
155,4131
156,1311
157,4197
158,7923
159,6515
160,3118
161,4105
162,8224
163,8428
164,491
165,4059
166,9534
167,234
168,353
169,1498
170,54
171,2224
172,203
173,7900
174,5130
175,9890
176,4211
177,6727
178,8665
179,1930
180,1822
181,4423
182,4291
183,1329
184,8243
185,4210
186,9299
187,649
188,3143
189,3836
190,4775
191,8402
192,1412
193,8493
194,941
195,9836
196,4045
197,3617
198,4120
199,8898
200,4064
201,1646
202,2024
203,6497
204,3185
205,5153
206,4299
207,9144
208,2051
209,4143
210,4392
211,6364
212,167
213,1422
214,7621
215,8229
216,4047
217,681
218,7175
219,5205
220,9990
221,8495
222,3111
223,8281
224,3982
225,620
226,7287
227,469
228,2308
229,4106
230,8625
231,8348
232,2806
233,6750
234,3955
235,3066
236,644
237,1869
238,8916
239,1688
240,8270
241,2557
242,1812
243,6713
244,3904
245,7060
246,1334
247,4993
248,1693
249,980
250,5603
251,1327
252,1661
253,8245
254,51
255,2914
256,1505
257,8021
258,6353
259,5792
260,8700
261,1979
262,9489
263,6912
264,6918
265,3970
266,5999
267,1831
268,74
269,8896
270,4450
271,4145
272,4010
273,4317
274,8908
275,4254
276,9237
277,5616
278,9617
279,2307
280,1166
281,3121
282,3901
283,1536
284,3941
285,8923
286,1451
287,1425
288,3772
289,8613
290,4201
291,1507
292,6299
293,4110
294,8399
295,3084
296,6590
297,1720
298,3367
299,5695
300,4199
301,6129
302,9026
303,7619
304,4147
305,3858
306,2312
307,6253
308,6168
309,2886
310,4020
311,1167
312,4289
313,8124
314,6869
315,9586
316,1260
317,4214
318,9449
319,4347
320,6384
321,2063
322,337
323,8943
324,1239
325,7592
326,7122
327,4843
328,3563
329,7550
330,4837
331,5113
332,4103
333,4087
334,1316
335,1365
336,8872
337,670
338,6573
339,3134
340,7911
341,3584
342,6607
343,4542
344,9118
345,2142
346,7551
347,2676
348,2099
349,1858
350,1557
351,8145
352,6620
353,4688
354,7096
355,2044
356,6749
357,4134
358,9886
359,7171
360,5101
361,7918
362,4057
363,9478
364,8874
365,6847
366,1512
367,646
368,9536
369,4109
370,2293
371,8754
372,1064
373,1923
374,3147
375,8244
376,4093
377,4043
378,3100
379,4520
380,9642
381,3802
382,1528
383,2915
384,1398
385,4177
386,7937
387,1896
388,4836
389,6133
390,4195
391,4202
392,6693
393,8879
394,6275
395,3852
396,9561
397,4102
398,2839
399,7591
400,8450
401,1698
402,4823
403,8429
404,3124
405,3619
406,9406
407,3037
408,4007
409,2538
410,8933
411,487
412,3443
413,8906
414,8001
415,2209
416,559
417,8246
418,8653
419,1750
420,1627
421,1846
422,1989
423,8715
424,3938
425,1912
426,1689
427,6032
428,9541
429,4142
430,3104
431,6209
432,621
433,3309
434,9462
435,1419
436,1309
437,3907
438,4179
439,3022
440,3888
441,6205
442,2908
443,6902
444,1400
445,4458
446,6499
447,6395
448,2554
449,3126
450,9136
451,6639
452,1821
453,3943
454,2046
455,2198
456,1241
457,4065
458,2180
459,9937
460,3572
461,9488
462,7048
463,3846
464,4092
465,4111
466,6751
467,9423
468,4300
469,6717
470,5907
471,4198
472,9046
473,1882
474,3903
475,6242
476,3003
477,1671
478,8639
479,1370
480,647
481,1499
482,9455
483,9556
484,3621
485,7916
486,6011
487,2313
488,5268
489,1413
490,9882
491,8687
492,1748
493,4155
494,9024
495,4095
496,8891
497,6094
498,2297
499,3803
