,0
0,9134
1,9121
2,4045
3,4330
4,1332
5,1685
6,1732
7,4196
8,643
9,1328
10,1653
11,3114
12,1140
13,1240
14,1373
15,1409
16,1362
17,1372
18,4101
19,1421
20,1527
21,1363
22,9229
23,1408
24,1426
25,4129
26,4784
27,1326
28,9319
29,7922
30,3902
31,4057
32,1397
33,4059
34,7147
35,618
36,4177
37,4130
38,1401
39,9097
40,9130
41,4200
42,4106
43,4105
44,1831
45,4175
46,3941
47,4103
48,9243
49,6718
50,4010
51,3852
52,3907
53,4319
54,3802
55,1313
56,4047
57,4044
58,620
59,4110
60,4065
61,4180
62,1365
63,1652
64,1400
65,4179
66,4060
67,1419
68,1686
69,4213
70,1413
71,1398
72,7171
73,4396
74,1334
75,4197
76,5268
77,4104
78,4102
79,1371
80,9238
81,647
82,4131
83,4214
84,3108
85,1403
86,3938
87,3951
88,3947
89,3942
90,1406
91,1425
92,3831
93,4291
94,9144
95,9132
96,4109
97,4142
98,4202
99,9118
100,9141
101,1451
102,4201
103,1335
104,3185
105,4043
106,3943
107,4203
108,6859
109,5500
110,4210
111,6205
112,646
113,4208
114,3950
115,644
116,8399
117,4150
118,4093
119,9120
120,1315
121,7517
122,6751
123,4111
124,6749
125,4209
126,7999
127,4055
128,6993
129,8221
130,4123
131,7260
132,4128
133,4207
134,7143
135,5595
136,624
137,1979
138,4073
139,9275
140,1405
141,1166
142,3987
143,1269
144,8166
145,6750
146,5191
147,4193
148,1342
149,6274
150,3112
151,4195
152,5515
153,6275
154,1430
155,4113
156,4126
157,1529
158,4140
159,6257
160,4181
161,4188
162,4451
163,3985
164,3294
165,3121
166,3912
167,4153
168,9135
169,6253
170,4132
171,4008
172,1934
173,3906
174,1159
175,4015
176,1412
177,1422
178,1659
179,4206
180,2536
181,936
182,6134
183,2534
184,2538
185,82
186,4187
187,3954
188,7550
189,7442
190,3913
191,8245
192,3910
193,621
194,4127
195,8243
196,8063
197,619
198,763
199,1399
200,8459
201,8281
202,4212
203,1366
204,1370
205,4639
206,9488
207,6095
208,9494
209,8246
210,8348
211,8504
212,2528
213,7710
214,7457
215,2530
216,9939
217,8229
218,2526
219,2550
220,4308
221,4318
222,4095
223,4119
224,8231
225,8226
226,8228
227,8235
228,8233
229,6902
230,4048
231,8618
232,8429
233,4382
234,6267
235,9587
236,812
237,8237
238,6901
239,4199
240,4198
241,4145
242,9541
243,53
244,3955
245,6758
246,6734
247,1557
248,6914
249,8350
250,9126
251,9882
252,4290
253,4289
254,1698
255,4549
256,4134
257,4152
258,4072
259,7825
260,1498
261,4143
262,3978
263,4256
264,4147
265,4050
266,4049
267,3851
268,4053
269,1368
270,2887
271,4317
272,3937
273,2721
274,2719
275,4335
276,2715
277,2709
278,2707
279,8227
280,8230
281,74
282,944
283,8232
284,8244
285,8247
286,1895
287,3946
288,5510
289,4108
290,4115
291,4112
292,9022
293,1424
294,4192
295,4182
296,4100
297,4122
298,4185
299,4151
300,5514
301,4338
302,4064
303,4099
304,4125
305,4092
306,9399
307,9452
308,5509
309,2050
310,223
311,1084
312,3949
313,8576
314,8270
315,2711
316,9702
317,5862
318,8225
319,4191
320,649
321,9455
322,366
323,5269
324,4046
325,622
326,1338
327,4116
328,1378
329,4097
330,4096
331,2054
332,2051
333,2049
334,2047
335,2044
336,2046
337,972
338,2052
339,2056
340,2045
341,2055
342,2048
343,99
344,2053
345,650
346,1331
347,8168
348,5737
349,9274
350,6358
351,6252
352,4301
353,4139
354,9453
355,6272
356,6273
357,4337
358,4118
359,7126
360,8353
361,710
362,5494
363,9344
364,4307
365,9129
366,3984
367,8236
368,4063
369,4300
370,7913
371,7614
372,9486
373,4450
374,2313
375,6491
376,8024
377,7735
378,8538
379,8346
380,4306
381,4303
382,4299
383,4305
384,4316
385,4314
386,4310
387,4315
388,4309
389,4311
390,4302
391,8169
392,6903
393,480
394,9485
395,2385
396,8027
397,4296
398,8167
399,2316
400,7917
401,8026
402,7620
403,2559
404,7174
405,7314
406,9489
407,2224
408,7621
409,2411
410,7020
411,4051
412,1516
413,1823
414,1382
415,4121
416,9026
417,7175
418,7417
419,9136
420,3310
421,3189
422,4312
423,2728
424,3654
425,5907
426,6160
427,2915
428,2913
429,8923
430,103
431,4359
432,4356
433,4332
434,6278
435,9406
436,6869
437,6881
438,3126
439,2914
440,2539
441,6280
442,2908
443,52
444,8867
445,2910
446,1538
447,4347
448,4334
449,3120
450,9535
451,6276
452,8850
453,7919
454,2317
455,9024
456,7623
457,4399
458,8161
459,3125
460,978
461,2912
462,4157
463,9451
464,4389
465,2555
466,2554
467,9025
468,9536
469,2911
470,4009
471,6736
472,1846
473,3622
474,2542
475,2548
476,845
477,6949
478,3015
479,1654
480,9933
481,2544
482,4114
483,9630
484,2909
485,1514
486,1528
487,2527
488,1743
489,2525
490,6294
491,2558
492,8402
493,3855
494,2920
495,2535
496,9029
497,9028
498,2531
499,2732
