,0
0,9134
1,9121
2,1685
3,646
4,1332
5,3985
6,4045
7,6859
8,7147
9,647
10,6883
11,1732
12,1064
13,6469
14,4196
15,4197
16,9887
17,8399
18,4330
19,4043
20,9886
21,8277
22,4048
23,4784
24,1408
25,1140
26,1240
27,1328
28,1422
29,1241
30,3111
31,3114
32,1653
33,1409
34,643
35,9141
36,3108
37,3112
38,1421
39,1423
40,1329
41,1330
42,1331
43,1372
44,618
45,1239
46,1373
47,4057
48,4319
49,1419
50,1833
51,1426
52,4010
53,3852
54,4044
55,1832
56,3802
57,1362
58,1363
59,3902
60,4063
61,4060
62,3907
63,5515
64,4195
65,1403
66,4177
67,1527
68,1166
69,4200
70,1325
71,9130
72,4061
73,4047
74,4198
75,4130
76,9319
77,6718
78,1397
79,4059
80,7922
81,5500
82,4131
83,4046
84,3941
85,6751
86,4201
87,4210
88,620
89,1412
90,4175
91,4142
92,3294
93,6205
94,4103
95,6749
96,3942
97,4213
98,4203
99,4050
100,9243
101,4065
102,4110
103,9229
104,1334
105,1425
106,9144
107,4008
108,9118
109,1451
110,3906
111,4106
112,1398
113,4199
114,3851
115,6253
116,4202
117,4179
118,3951
119,4109
120,4054
121,624
122,7999
123,8212
124,644
125,4214
126,1686
127,4073
128,4093
129,4105
130,1308
131,1313
132,1309
133,1312
134,6750
135,9132
136,4212
137,4140
138,4209
139,1405
140,6993
141,3987
142,8221
143,1400
144,4208
145,1365
146,4102
147,1159
148,4153
149,8281
150,4104
151,1659
152,1645
153,5268
154,4396
155,4129
156,1399
157,1371
158,7517
159,6559
160,7913
161,4137
162,7171
163,8166
164,4015
165,8538
166,6257
167,7614
168,8024
169,1335
170,1430
171,1368
172,6717
173,3120
174,4134
175,4101
176,4291
177,9097
178,3950
179,7735
180,4111
181,4207
182,6275
183,4290
184,4113
185,9452
186,9103
187,3955
188,1934
189,1342
190,4180
191,3910
192,4139
193,3913
194,4143
195,8235
196,6902
197,1413
198,1269
199,3185
200,4206
201,4095
202,4451
203,4128
204,4123
205,9026
206,4115
207,7550
208,1401
209,4108
210,6901
211,2536
212,621
213,9399
214,8459
215,9587
216,1529
217,4125
218,4112
219,5595
220,8063
221,3943
222,8243
223,3947
224,1333
225,7143
226,4126
227,7260
228,4051
229,6134
230,4049
231,9275
232,936
233,3831
234,4055
235,7710
236,2385
237,2534
238,2526
239,2313
240,2528
241,4116
242,4306
243,9882
244,82
245,4303
246,763
247,2530
248,6091
249,2550
250,8618
251,4307
252,8233
253,8576
254,1560
255,4181
256,3938
257,4072
258,7457
259,7126
260,4118
261,4305
262,4193
263,2538
264,4100
265,4639
266,6299
267,4099
268,4301
269,4071
270,8169
271,4122
272,9274
273,9982
274,8228
275,8168
276,9485
277,4120
278,4127
279,4114
280,5510
281,4187
282,4182
283,2050
284,4121
285,5509
286,4185
287,4186
288,6712
289,8163
290,4192
291,5862
292,3981
293,4092
294,4097
295,9024
296,8911
297,6758
298,6949
299,6734
300,4318
301,9120
302,1895
303,6739
304,2051
305,1314
306,4310
307,5514
308,4337
309,5494
310,9025
311,4600
312,50
313,6944
314,7615
315,4335
316,4309
317,650
318,4191
319,53
320,4332
321,2049
322,4150
323,972
324,2054
325,2048
326,4289
327,99
328,1534
329,1450
330,2044
331,2045
332,2884
333,2047
334,2053
335,2046
336,4308
337,2052
338,1820
339,1498
340,353
341,1624
342,4299
343,2056
344,6742
345,1512
346,2055
347,6351
348,6722
349,9029
350,6491
351,619
352,9028
353,4338
354,3126
355,4188
356,4119
357,8167
358,2548
359,9126
360,8170
361,4316
362,4314
363,1406
364,5899
365,9494
366,7825
367,9694
368,5269
369,8353
370,8498
371,4183
372,7919
373,4266
374,4382
375,5737
376,5735
377,3949
378,4317
379,203
380,7175
381,8246
382,4597
383,8027
384,5734
385,4096
386,5736
387,7623
388,1979
389,4132
390,3946
391,9135
392,4340
393,9486
394,4138
395,4450
396,4256
397,2317
398,4135
399,6306
400,2316
401,7917
402,622
403,4296
404,7620
405,4313
406,1698
407,4311
408,9488
409,9143
410,8850
411,9489
412,3937
413,5014
414,4399
415,8245
416,3978
417,3561
418,3125
419,4293
420,6757
421,4356
422,7174
423,4009
424,8429
425,4549
426,710
427,2411
428,2559
429,8026
430,7739
431,2164
432,2759
433,3189
434,2224
435,2719
436,7020
437,6951
438,5188
439,7314
440,7621
441,6733
442,2100
443,7417
444,9142
445,168
446,7918
447,9136
448,6738
449,9987
450,74
451,2721
452,167
453,1338
454,2542
455,7544
456,2715
457,1424
458,3855
459,4359
460,9022
461,52
462,3945
463,2709
464,1174
465,3984
466,4346
467,9021
468,9023
469,9020
470,1414
471,9123
472,6711
473,1434
474,3121
475,1315
476,1499
477,1538
478,1798
479,9122
480,2707
481,2713
482,2726
483,2723
484,2732
485,2728
486,2711
487,5049
488,2725
489,2544
490,2921
491,4094
492,2730
493,6267
494,2920
495,2908
496,6129
497,9127
498,4347
499,9129
