,1_rmse_mean,1_rmse_stdev,1_r2_mean,1_r2_stdev,25_rmse_mean,25_rmse_stdev,25_r2_mean,25_r2_stdev,50_rmse_mean,50_rmse_stdev,50_r2_mean,50_r2_stdev
0,0.6781999109807654,0.011648928667070997,0.7518078834705996,0.008180677669601327,0.6705674669379018,0.005784270126823041,0.7565667232765706,0.003620584490971512,0.6670888970390928,0.005850519946761182,0.7589007187266796,0.0036984510890477927
1,0.6615891054458771,0.005756282760875546,0.7615187587462909,0.0038320315715815356,0.662907748558513,0.007296725210160771,0.7610034012374786,0.0045509580224770895,0.6630284164704082,0.004772182505519276,0.7609941622746624,0.003069337986970535
2,0.6472688058174381,0.009334262752701324,0.7699778135011175,0.00681168472900027,0.6604226226539828,0.008889754122728317,0.761052477598585,0.006334437777450746,0.6563472215597339,0.005427619304441203,0.7636401441295234,0.00402593061736095
3,0.6424832845153027,0.008003735013285822,0.771638340181282,0.005976913335602456,0.6600497051133868,0.004457711955285951,0.7604045224848074,0.0028490283082497946,0.6501647577857913,0.007373395501782751,0.7668997247075575,0.0043931522711759
4,0.6369708176404368,0.007576163562875458,0.7742676944238115,0.005510740411734998,0.6487368674330112,0.005166788838506958,0.767072947511041,0.004155355884384368,0.6448380785911726,0.008816322197415684,0.7692831192572654,0.006205613952395092
5,0.6298571906898732,0.0076726010499889785,0.777684082686016,0.005748979903783874,0.640263896264512,0.009483845337557608,0.7722998710214518,0.006990918981563819,0.6366872185377053,0.011908407388663729,0.774036816140609,0.00790378010060081
6,0.6242553665177316,0.005081210118929815,0.7801888909628382,0.004100896296231454,0.6372008993318726,0.006173065195421252,0.7734124050788429,0.004427369686622827,0.6345814119805747,0.014464598335443161,0.7750130035735247,0.010152478549261776
7,0.617338702561266,0.004042921868377969,0.7837052062030244,0.0033308129780547898,0.6324851456340949,0.0032892068762608454,0.7752086889578261,0.0018991964891666485,0.6310556089329595,0.015294613475534366,0.7764254489515995,0.010814154662136576
8,0.6139719348984551,0.005732565035600097,0.7840711923286795,0.0045788115020888994,0.6298183692110962,0.003866023890623159,0.7750466454023889,0.0026797570879296406,0.625397475402326,0.012332485042508333,0.7791988300398117,0.008720529559510876
9,0.6073296630247947,0.0034369047432993727,0.7871192969098125,0.0034791945959699844,0.6247922858780468,0.005251906404000418,0.7774223150945524,0.0035335909617759203,0.6207485003944818,0.011704905337649072,0.7810457388501474,0.0075192220369730105
10,0.6039569175529675,0.001991362808784361,0.7876959043381389,0.002274600044435805,0.6192261865969145,0.0045069537124494295,0.7798820760087088,0.002864416998268947,0.6184270061990569,0.013009874478570303,0.7808785364568198,0.009004824893283131
