,1_rmse_mean,1_rmse_stdev,1_r2_mean,1_r2_stdev,25_rmse_mean,25_rmse_stdev,25_r2_mean,25_r2_stdev,50_rmse_mean,50_rmse_stdev,50_r2_mean,50_r2_stdev
0,0.6781999109807654,0.011648928667070997,0.7518078834705996,0.008180677669601327,0.6704307576821703,0.006510032806875882,0.7567408690126837,0.004177081641280705,0.6703640748024373,0.005440679567221991,0.7566441603908068,0.003278475871892609
1,0.6596940962183231,0.007306476686748536,0.7634343301001345,0.004950744152770147,0.6628946554945597,0.006756453729143644,0.7612913802019942,0.004300199576013058,0.6643700983690559,0.003642456651185658,0.7606764180855271,0.002395460959932891
2,0.645043707243178,0.009469488597420615,0.7724982312455171,0.006890469544758529,0.6616093051496268,0.008772177471612044,0.7608251018035471,0.0063142453024364635,0.6572798536668061,0.006974093082273512,0.7643704714078146,0.00424893827604387
3,0.6394979098451065,0.009447237488495283,0.775449201058834,0.007096102489087119,0.6591944841903454,0.005173421713920068,0.7618317468138033,0.0032579719027415223,0.6561909897476657,0.005452977940364138,0.7640295652808516,0.0034582715692434494
4,0.6319961106517819,0.01016513218382546,0.7799943648401161,0.0074966454359373285,0.6473446248489879,0.007503096842339619,0.7691182481839093,0.005650720164906736,0.6458606984062064,0.009146313235415359,0.7694272980038418,0.006522322810745067
5,0.6230015682722437,0.009130819708761806,0.7858922867322415,0.006759136439198209,0.6425121254747074,0.009351901510850878,0.7719461022061469,0.006843513943468942,0.6412675820758716,0.010116159764472455,0.7727125296368992,0.007407681044947073
6,0.6166497714353733,0.009259474134591376,0.7899989437166379,0.006896913155895253,0.6368116967410686,0.01093841224362695,0.7747238689676506,0.0074412234982464956,0.6358013911597886,0.011420947242661114,0.7755637797757912,0.007528415749347728
7,0.6073819720184241,0.011231204555035547,0.7958389051682929,0.007742498231416266,0.6340688252275678,0.008904609486866269,0.7758804546426409,0.006038684723027021,0.6305375596616857,0.010838094728742594,0.7783224301193278,0.007559276297041282
8,0.6032741922213508,0.010934214181027583,0.7982627392120359,0.007439570686975361,0.6251797946741626,0.00818735559515771,0.7814947056447684,0.005568595900351614,0.6272020038181121,0.01149267104813719,0.7800215244318062,0.008554345912554473
9,0.5986329876242255,0.004845608920934897,0.8007928040135778,0.003824200489820276,0.6205068410788378,0.007497216382141173,0.7841679237663722,0.00500913362536227,0.6193789019632057,0.012954089879414925,0.7847776804236828,0.008548004796761639
10,0.5946768999175581,0.00470245731696514,0.8029890221826786,0.0036688783392771532,0.6138913848133613,0.008523740055546377,0.7884133332990483,0.005725535846761125,0.6166572277070635,0.013811587866226847,0.7857608178828498,0.009597457210958806
